price_id,price_date,price_time,price,pred_price,Percent Change,Target,Signal
73777,2025-02-20,7:31:01,0.38,0.0,-0.8091882015139662,0,0
73778,2025-02-20,8:01:01,0.3799,0.0,-0.026315789473685403,0,0
73779,2025-02-20,8:31:02,0.3812,0.0,0.34219531455645935,1,0
73780,2025-02-20,9:01:02,0.3819,0.0,0.1836306400839538,1,0
73781,2025-02-20,9:31:01,0.3824,0.0,0.1309243257397119,1,0
73782,2025-02-20,10:01:02,0.3831,0.0,0.18305439330543738,1,0
73783,2025-02-20,10:31:01,0.3801,0.0,-0.7830853563038365,0,0
73784,2025-02-20,11:01:01,0.3854,0.0,1.3943699026571998,1,0
73785,2025-02-20,11:31:02,0.3847,0.0,-0.18162947586923828,0,0
73786,2025-02-20,12:01:01,0.3839,0.0,-0.20795425006497892,0,0
73787,2025-02-20,12:31:02,0.3848,0.0,0.2344360510549537,1,0
73788,2025-02-20,12:47:05,0.3848,0.0,0.0,0,0
73789,2025-02-20,13:01:01,0.3812,0.0,-0.9355509355509328,0,0
73790,2025-02-20,13:15:01,0.38,0.0,-0.31479538300104304,0,0
73791,2025-02-20,13:31:01,0.3807,0.0,0.18421052631578672,1,0
73792,2025-02-20,13:45:02,0.3815,0.0,0.21013921723143092,1,0
73793,2025-02-20,14:01:02,0.3815,0.0,0.0,0,0
73794,2025-02-20,14:15:01,0.3824,0.0,0.2359108781127217,1,0
73795,2025-02-20,14:31:01,0.3824,0.0,0.0,0,0
73796,2025-02-20,14:45:01,0.3824,0.0,0.0,0,0
73797,2025-02-20,15:01:01,0.3853,0.0,0.758368200836812,1,0
73798,2025-02-20,15:14:20,0.3867,0.0,0.3633532312483867,1,0
73799,2025-02-20,15:15:01,0.3867,0.0,0.0,0,0
73800,2025-02-20,15:15:24,0.3867,0.0,0.0,0,0
